citation_name,date_signed,state,effective_date,expiration_date,prohibited_issuing_groups,vaccination_prohibition_groups,vaccination_requirement_details,vaccination_person_exact_term,vaccination_person_definition,vaccination_issuer_exact_term,vaccination_issuer_definition,vaccination_prohibition_exemptions
GA SB 345 (2022),05/03/2022 12:00:00 AM,Georgia,05/03/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Government – other,School workers,Prohibits requiring vaccination,"[Any person , Any private entity ]","(1) No agency shall require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, issuing any license, permit, or other type of authorization, or performing any duty of such agency.
(2) No agency, through any rule, regulation, ordinance, resolution, or other action shall require that any person or private entity require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, or as a condition of such person or private entity's performance of any regular activity by such person or private entity.",[Agency ],"As used in this Code section, the term:
 'Agency' means:
(A) Every state department, agency, board, bureau, office, commission, public corporation, and authority;
(B) Every county, municipal corporation, school district, or other political subdivision of this state;
(C) Every department, agency, board, bureau, office, commission, authority, or similar body of each such county, municipal corporation, or other political subdivision of this state; and
(D) Every city, county, regional, or other authority established pursuant to the laws of this state.",[Other (specify in notes)]
GA SB 345 (2022),05/03/2022 12:00:00 AM,Georgia,05/03/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Government – other,Visitors to government buildings,Prohibits requiring vaccination,"[Any person , Any private entity ]","(1) No agency shall require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, issuing any license, permit, or other type of authorization, or performing any duty of such agency.
(2) No agency, through any rule, regulation, ordinance, resolution, or other action shall require that any person or private entity require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, or as a condition of such person or private entity's performance of any regular activity by such person or private entity.",[Agency ],"As used in this Code section, the term:
 'Agency' means:
(A) Every state department, agency, board, bureau, office, commission, public corporation, and authority;
(B) Every county, municipal corporation, school district, or other political subdivision of this state;
(C) Every department, agency, board, bureau, office, commission, authority, or similar body of each such county, municipal corporation, or other political subdivision of this state; and
(D) Every city, county, regional, or other authority established pursuant to the laws of this state.",[Other (specify in notes)]
GA SB 345 (2022),05/03/2022 12:00:00 AM,Georgia,05/03/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Government – state education department,IHE students,Prohibits requiring vaccination,"[Any person , Any private entity ]","(1) No agency shall require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, issuing any license, permit, or other type of authorization, or performing any duty of such agency.
(2) No agency, through any rule, regulation, ordinance, resolution, or other action shall require that any person or private entity require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, or as a condition of such person or private entity's performance of any regular activity by such person or private entity.",[Agency ],"As used in this Code section, the term:
 'Agency' means:
(A) Every state department, agency, board, bureau, office, commission, public corporation, and authority;
(B) Every county, municipal corporation, school district, or other political subdivision of this state;
(C) Every department, agency, board, bureau, office, commission, authority, or similar body of each such county, municipal corporation, or other political subdivision of this state; and
(D) Every city, county, regional, or other authority established pursuant to the laws of this state.",[Other (specify in notes)]
"Ga. Exec. Order No. 5.25.21.01 (May 25, 2021)",05/25/2021 12:00:00 AM,Georgia,05/25/2021 12:00:00 AM,,Government – state education department,IHE students,Prohibits requiring vaccination,[individual],individual,"[state agency, provider of state services, state property]","""...state agency, provider of state services, or state property""",[]
GA SB 345 (2022),05/03/2022 12:00:00 AM,Georgia,05/03/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Government – state education department,K-12 students,Prohibits requiring vaccination,"[Any person , Any private entity ]","(1) No agency shall require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, issuing any license, permit, or other type of authorization, or performing any duty of such agency.
(2) No agency, through any rule, regulation, ordinance, resolution, or other action shall require that any person or private entity require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, or as a condition of such person or private entity's performance of any regular activity by such person or private entity.",[Agency ],"As used in this Code section, the term:
 'Agency' means:
(A) Every state department, agency, board, bureau, office, commission, public corporation, and authority;
(B) Every county, municipal corporation, school district, or other political subdivision of this state;
(C) Every department, agency, board, bureau, office, commission, authority, or similar body of each such county, municipal corporation, or other political subdivision of this state; and
(D) Every city, county, regional, or other authority established pursuant to the laws of this state.",[Other (specify in notes)]
"Ga. Exec. Order No. 5.25.21.01 (May 25, 2021)",05/25/2021 12:00:00 AM,Georgia,05/25/2021 12:00:00 AM,,Government – state education department,K-12 students,Prohibits requiring vaccination,[individual],individual,"[state agency, provider of state services, state property]","""...state agency, provider of state services, or state property""",[]
GA SB 345 (2022),05/03/2022 12:00:00 AM,Georgia,05/03/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Government – state education department,School workers,Prohibits requiring vaccination,"[Any person , Any private entity ]","(1) No agency shall require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, issuing any license, permit, or other type of authorization, or performing any duty of such agency.
(2) No agency, through any rule, regulation, ordinance, resolution, or other action shall require that any person or private entity require proof of COVID-19 vaccination of any person as a condition of providing any service or access to any facility, or as a condition of such person or private entity's performance of any regular activity by such person or private entity.",[Agency ],"As used in this Code section, the term:
 'Agency' means:
(A) Every state department, agency, board, bureau, office, commission, public corporation, and authority;
(B) Every county, municipal corporation, school district, or other political subdivision of this state;
(C) Every department, agency, board, bureau, office, commission, authority, or similar body of each such county, municipal corporation, or other political subdivision of this state; and
(D) Every city, county, regional, or other authority established pursuant to the laws of this state.",[Other (specify in notes)]
"Ga. Exec. Order No. 5.25.21.01 (May 25, 2021)",05/25/2021 12:00:00 AM,Georgia,05/25/2021 12:00:00 AM,,Government – state education department,School workers,Prohibits requiring vaccination,[individual],individual,"[state agency, provider of state services, state property]","""...state agency, provider of state services, or state property""",[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – school district,K-12 students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – school district,K-12 students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – school district,School workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – school district,School workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Congregate facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Congregate facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Government workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Government workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Healthcare workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Healthcare workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,IHE students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,IHE students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,K-12 students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,K-12 students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Long-term care facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Long-term care facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,School workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,School workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Visitors to government buildings,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – governor,Visitors to government buildings,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Congregate facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Congregate facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Government workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Government workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Healthcare workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Healthcare workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,IHE students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,IHE students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,K-12 students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,K-12 students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Long-term care facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Long-term care facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,School workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,School workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Visitors to government buildings,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – health department,Visitors to government buildings,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Congregate facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Congregate facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Government workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Government workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Healthcare workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Healthcare workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),IHE students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),IHE students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),K-12 students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),K-12 students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Long-term care facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Long-term care facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),School workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),School workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Visitors to government buildings,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – local (not school district),Visitors to government buildings,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Congregate facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Congregate facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Government workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Government workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Healthcare workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Healthcare workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,IHE students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,IHE students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,K-12 students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,K-12 students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Long-term care facility workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Long-term care facility workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,School workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,School workers,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Visitors to government buildings,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – other,Visitors to government buildings,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – state education department,IHE students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – state education department,IHE students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – state education department,K-12 students,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – state education department,K-12 students,Prohibits issuance of vaccine passports,"[an individual, any person]",not further defined,"[any state department,  agency,  board,  commission,  or other executive branch entity or official ]",not further defined,[]
"Idaho Exec. Order No. 2021-04 (Apr. 7, 2021)",04/07/2021 12:00:00 AM,Idaho,04/07/2021 12:00:00 AM,,Government – state education department,School workers,Prohibits requiring vaccination,"[an individual, any person]",not further defined,"[department, agency, board, commission, or other executive branch entity or official of the State of Idaho]",not further defined,[]
