citation_name,date_signed,state,effective_date,expiration_date,vaccination_mandate_group,vaccination_requirement_details,vaccination_testing_frequency,vaccination_person_exact_term,vaccination_person_definition,vaccination_religious_exemption,vaccination_medical_exemption,vaccination_enforcement,negative_test_option,negative_test_timeframe,requires_booster
"D.C. Rule. Healthcare Worker Vaccine Requirement (Aug. 27, 2021)",08/27/2021 12:00:00 AM,District of Columbia,11/13/2021 12:00:00 AM,2021-12-20T00:00:00,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[worker],"The following persons are subject to the requirements set forth in § 230.1:  (a)  Each  person  licensed  pursuant  to  §  501(a)(1)  of  the  District  of  
Columbia  Health  Occupations  Revisions  Act  of  1985  (“Health 
Occupations  Act”),  effective  March  25,  1986  (D.C.  Law  6-99; DISTRICT OF COLUMBIA REGISTER                    VOL. 68 - NO. 35AUGUST 27, 2021008965
3 
 D.C.  Official  Code  §  3-1205.01(a)(1))  to  practice  acupuncture,  
advanced practice addiction counseling, assisted living 
administration, audiology, certified midwife, certified professional 
midwife  chiropractic,  cytotechnology,  dental  hygiene,  dentistry,  
dietetics, histotechnology, home health care administration, 
marriage  and family therapy, massage therapy, medical laboratory 
technology,  medicine,  naturopathic  medicine,  nutrition,  nursing  
home administration, occupational therapy, optometry, 
pharmaceutical  detailing,  pharmacy,  physical  therapy,  podiatry,  
practical  nursing,  professional  counseling,  psychology,  registered  
nursing,  respiratory  care,  social  work,  speech-language  pathology,  
veterinary medicine, or to practice as an anesthesiologist assistant, 
athletic trainer, personal fitness trainer, pharmacy intern, physician 
assistant, physical therapy assistant, polysomnographic 
technologist,  occupational  therapy  assistant,  or  surgical  assistant,  
professional art therapy, or as a trauma technologist, or to practice 
any other profession for which licensure is required by § 501(a)(1) 
of the Health Occupations Act (D.C. Official Code § 3-
1205.01(a)(1));  (b)  Each  person  registered  pursuant  to  §  501(a)(2)  of  the  Health 
Occupations Act (D.C. Official Code § 3-1205.01(a)(2)) to 
practice as an audiology assistant, dental assistant, nursing 
assistive  personnel  (including  certified  nurse  aide  and  certified 
home health aide), pharmacy technician, phlebotomist, psychology 
associate, polysomnographic technician or trainee, speech-
language pathology assistant, or speech-language pathology 
clinical fellow, or to practice any other profession for which 
registration  is  required  by  §  501(a)(2)  of  the  Health  Occupations  
Act (D.C. Official Code § 3-1205.01(a)(2));  (c) Each person certified pursuant to § 501(a)(3) of the Health 
Occupations Act (D.C. Official Code § 3-1205.01(a)(3)) to 
practice as an addiction counselor I, addiction counselor II, 
advanced  practice  registered  nursing,  veterinary  technician,  or  a 
veterinary euthanasia technician, or to practice any other 
profession for which certification is required by § 501(a)(3) of the 
Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3));  (d) Each  person  certified  pursuant  to  §  6  of  the  Emergency  Medical  
Services Act of 2008 (“Emergency Medical Services Act”), 
effective March 25, 2009 (D.C. Law 17-357; D.C. Official Code § 
7-2341.05)  to  perform  the  duties  of  emergency  medical  services  
personnel;  DISTRICT OF COLUMBIA REGISTER                    VOL. 68 - NO. 35AUGUST 27, 2021008966
4 
 (e) Each  person  certified  pursuant  to  §  7  of  the  Emergency  Medical  
Services  Act  (D.C.  Official  Code  §  7-2341.06)  to  perform  the  
duties of flight emergency medical services personnel;  (f)  Each  person  certified  pursuant  to  §  9  of  the  Emergency  Medical  
Services  Act  (D.C.  Official  Code  §  7-2341.08)  to  perform  the  
duties of an emergency medical services instructor; and   (g) Each person who is an “unlicensed person” as that term is defined 
by § 2(7) of the Health-Care Facility Unlicensed Personnel 
Criminal Background Check Act of 1998, effective April 20, 1999 
(D.C. Law 12-238; D.C. Official Code § 44-551(7)), regardless of 
whether the person is an employee or contractor of a “facility,” as 
that  term  is  defined  by  section    by  §  2(1C)  of  the  Health-Care 
Facility Unlicensed Personnel Criminal Background Check Act of 
1998,  effective  April  20,  1999  (D.C.  Law  12-238;  D.C.  Official  
Code  §  44-551(1C)).    The  term  “unlicensed  person”  includes,  but 
is not limited to, unlicensed nurse aides, orderlies, assistant 
technicians,  attendants,  home  health  aides,  personal  care  aides,  
medication aides, geriatric aides, medical assistants, health 
technicians,  other  health  aides,  housekeeping  staff,  maintenance  
staff and administrative staff.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Termination of employment, Adverse employment action]",,,false
"D.C. Code 38-502.01 (Mar. 2, 2022)",03/02/2022 12:00:00 AM,District of Columbia,03/01/2022 12:00:00 AM,,K-12 students,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[student],an individual who is 3 years of age or older who seeks admission to a school or for whom admission is sought by a reasonable person,"Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Exclusion from school outright for unvaccinated students]",,,true
"D.C. Code 38-502.01 Student Vaccine Requirement (Jan 12, 2022)",01/12/2022 12:00:00 AM,District of Columbia,03/01/2022 12:00:00 AM,2022-04-12T00:00:00,K-12 students,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[students],means an individual who is 3 years of age or older who seeks admission to a school or for whom admission is sought by a responsible person.,"Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Other, Exclusion from school outright for unvaccinated students, Must show proof of vaccination - Vaccine card]",,,false
"D.C. Rule Healthcare Worker Vaccine Requirement Booster Rescission (Apr. 6, 2022)",04/06/2022 12:00:00 AM,District of Columbia,04/06/2022 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Health care worker],"The following persons are subject to the requirements set forth in § 230.1: (a) Each person licensed pursuant to § 501(a)(1) of the District of Columbia Health Occupations Revisions Act of 1985 (“Health Occupations Act”), effective March 25, 1986 (D.C. Law 6-99; DISTRICT OF COLUMBIA REGISTER VOL. 68 - NO. 35AUGUST 27, 2021008965 3 D.C. Official Code § 3-1205.01(a)(1)) to practice acupuncture, advanced practice addiction counseling, assisted living administration, audiology, certified midwife, certified professional midwife chiropractic, cytotechnology, dental hygiene, dentistry, dietetics, histotechnology, home health care administration, marriage and family therapy, massage therapy, medical laboratory technology, medicine, naturopathic medicine, nutrition, nursing home administration, occupational therapy, optometry, pharmaceutical detailing, pharmacy, physical therapy, podiatry, practical nursing, professional counseling, psychology, registered nursing, respiratory care, social work, speech-language pathology, veterinary medicine, or to practice as an anesthesiologist assistant, athletic trainer, personal fitness trainer, pharmacy intern, physician assistant, physical therapy assistant, polysomnographic technologist, occupational therapy assistant, or surgical assistant, professional art therapy, or as a trauma technologist, or to practice any other profession for which licensure is required by § 501(a)(1) of the Health Occupations Act (D.C. Official Code § 3- 1205.01(a)(1)); (b) Each person registered pursuant to § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)) to practice as an audiology assistant, dental assistant, nursing assistive personnel (including certified nurse aide and certified home health aide), pharmacy technician, phlebotomist, psychology associate, polysomnographic technician or trainee, speech- language pathology assistant, or speech-language pathology clinical fellow, or to practice any other profession for which registration is required by § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)); (c) Each person certified pursuant to § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)) to practice as an addiction counselor I, addiction counselor II, advanced practice registered nursing, veterinary technician, or a veterinary euthanasia technician, or to practice any other profession for which certification is required by § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)); (d) Each person certified pursuant to § 6 of the Emergency Medical Services Act of 2008 (“Emergency Medical Services Act”), effective March 25, 2009 (D.C. Law 17-357; D.C. Official Code § 7-2341.05) to perform the duties of emergency medical services personnel; DISTRICT OF COLUMBIA REGISTER VOL. 68 - NO. 35AUGUST 27, 2021008966 4 (e) Each person certified pursuant to § 7 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.06) to perform the duties of flight emergency medical services personnel; (f) Each person certified pursuant to § 9 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.08) to perform the duties of an emergency medical services instructor; and (g) Each person who is an “unlicensed person” as that term is defined by § 2(7) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(7)), regardless of whether the person is an employee or contractor of a “facility,” as that term is defined by section by § 2(1C) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(1C)). The term “unlicensed person” includes, but is not limited to, unlicensed nurse aides, orderlies, assistant technicians, attendants, home health aides, personal care aides, medication aides, geriatric aides, medical assistants, health technicians, other health aides, housekeeping staff, maintenance staff and administrative staff.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[Adverse employment action],,,false
"D.C. Rule Healthcare Facilities Vaccination (Mar. 25, 2022)",03/25/2022 12:00:00 AM,District of Columbia,11/13/2021 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Health Care Worker],"The following persons are subject to the requirements set forth in § 230.1: (a) Each person licensed pursuant to § 501(a)(1) of the District of Columbia Health Occupations Revisions Act of 1985 (“Health Occupations Act”), effective March 25, 1986 (D.C. Law 6-99; DISTRICT OF COLUMBIA REGISTER VOL. 68 - NO. 35AUGUST 27, 2021008965 3 D.C. Official Code § 3-1205.01(a)(1)) to practice acupuncture, advanced practice addiction counseling, assisted living administration, audiology, certified midwife, certified professional midwife chiropractic, cytotechnology, dental hygiene, dentistry, dietetics, histotechnology, home health care administration, marriage and family therapy, massage therapy, medical laboratory technology, medicine, naturopathic medicine, nutrition, nursing home administration, occupational therapy, optometry, pharmaceutical detailing, pharmacy, physical therapy, podiatry, practical nursing, professional counseling, psychology, registered nursing, respiratory care, social work, speech-language pathology, veterinary medicine, or to practice as an anesthesiologist assistant, athletic trainer, personal fitness trainer, pharmacy intern, physician assistant, physical therapy assistant, polysomnographic technologist, occupational therapy assistant, or surgical assistant, professional art therapy, or as a trauma technologist, or to practice any other profession for which licensure is required by § 501(a)(1) of the Health Occupations Act (D.C. Official Code § 3- 1205.01(a)(1)); (b) Each person registered pursuant to § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)) to practice as an audiology assistant, dental assistant, nursing assistive personnel (including certified nurse aide and certified home health aide), pharmacy technician, phlebotomist, psychology associate, polysomnographic technician or trainee, speech- language pathology assistant, or speech-language pathology clinical fellow, or to practice any other profession for which registration is required by § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)); (c) Each person certified pursuant to § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)) to practice as an addiction counselor I, addiction counselor II, advanced practice registered nursing, veterinary technician, or a veterinary euthanasia technician, or to practice any other profession for which certification is required by § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)); (d) Each person certified pursuant to § 6 of the Emergency Medical Services Act of 2008 (“Emergency Medical Services Act”), effective March 25, 2009 (D.C. Law 17-357; D.C. Official Code § 7-2341.05) to perform the duties of emergency medical services personnel; DISTRICT OF COLUMBIA REGISTER VOL. 68 - NO. 35AUGUST 27, 2021008966 4 (e) Each person certified pursuant to § 7 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.06) to perform the duties of flight emergency medical services personnel; (f) Each person certified pursuant to § 9 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.08) to perform the duties of an emergency medical services instructor; and (g) Each person who is an “unlicensed person” as that term is defined by § 2(7) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(7)), regardless of whether the person is an employee or contractor of a “facility,” as that term is defined by section by § 2(1C) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(1C)). The term “unlicensed person” includes, but is not limited to, unlicensed nurse aides, orderlies, assistant technicians, attendants, home health aides, personal care aides, medication aides, geriatric aides, medical assistants, health technicians, other health aides, housekeeping staff, maintenance staff and administrative staff.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Other, Adverse employment action]",,,false
"D.C. Emerg. Rule Healthcare Worker Vaccination (Feb. 8, 2022)",02/08/2022 12:00:00 AM,District of Columbia,03/01/2022 12:00:00 AM,2022-06-07T00:00:00,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[employee],"As defined in D.C. Rule Healthcare Worker Vaccine Requirement (Aug. 27, 2021) Each person licensed pursuant to § 501(a)(1) of the District of Columbia Health Occupations Revisions Act of 1985 (“Health Occupations Act”), effective March 25, 1986 (D.C. Law 6-99; D.C. Official Code § 3-1205.01(a)(1)) to practice acupuncture, advanced practice addiction counseling, assisted living administration, audiology, certified midwife, certified professional midwife chiropractic, cytotechnology, dental hygiene, dentistry, dietetics, histotechnology, home health care administration, marriage and family therapy, massage therapy, medical laboratory technology, medicine, naturopathic medicine, nutrition, nursing home administration, occupational therapy, optometry, pharmaceutical detailing, pharmacy, physical therapy, podiatry, practical nursing, professional counseling, psychology, registered nursing, respiratory care, social work, speech-language pathology, veterinary medicine, or to practice as an anesthesiologist assistant, athletic trainer, personal fitness trainer, pharmacy intern, physician assistant, physical therapy assistant, polysomnographic technologist, occupational therapy assistant, or surgical assistant, professional art therapy, or as a trauma technologist, or to practice any other profession for which licensure is required by § 501(a)(1) of the Health Occupations Act (D.C. Official Code § 3- 1205.01(a)(1)); (b) Each person registered pursuant to § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)) to practice as an audiology assistant, dental assistant, nursing assistive personnel (including certified nurse aide and certified home health aide), pharmacy technician, phlebotomist, psychology associate, polysomnographic technician or trainee, speechlanguage pathology assistant, or speech-language pathology clinical fellow, or to practice any other profession for which registration is required by § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)); (c) Each person certified pursuant to § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)) to practice as an addiction counselor I, addiction counselor II, advanced practice registered nursing, veterinary technician, or a veterinary euthanasia technician, or to practice any other profession for which certification is required by § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)); (d) Each person certified pursuant to § 6 of the Emergency Medical Services Act of 2008 (“Emergency Medical Services Act”), effective March 25, 2009 (D.C. Law 17-357; D.C. Official Code § 7-2341.05) to perform the duties of emergency medical services personnel; (e) Each person certified pursuant to § 7 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.06) to perform the duties of flight emergency medical services personnel; (f) Each person certified pursuant to § 9 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.08) to perform the duties of an emergency medical services instructor; and (g) Each person who is an “unlicensed person” as that term is defined by § 2(7) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(7)), regardless of whether the person is an employee or contractor of a “facility,” as that term is defined by section by § 2(1C) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(1C)). The term “unlicensed person” includes, but is not limited to, unlicensed nurse aides, orderlies, assistant technicians, attendants, home health aides, personal care aides, medication aides, geriatric aides, medical assistants, health technicians, other health aides, housekeeping staff, maintenance staff and administrative staff.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Other, Termination of employment]",,,true
"D.C. Rule Healthcare Worker Vaccine Requirement (Dec. 10, 2021)",12/10/2021 12:00:00 AM,District of Columbia,11/13/2021 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Health care workers ],"The following persons are subject to the requirements set forth in § 230.1: (a) Each person licensed pursuant to § 501(a)(1) of the District of Columbia Health Occupations Revisions Act of 1985 (“Health Occupations Act”), effective March 25, 1986 (D.C. Law 6-99; DISTRICT OF COLUMBIA REGISTER VOL. 68 - NO. 35AUGUST 27, 2021008965 3 D.C. Official Code § 3-1205.01(a)(1)) to practice acupuncture, advanced practice addiction counseling, assisted living administration, audiology, certified midwife, certified professional midwife chiropractic, cytotechnology, dental hygiene, dentistry, dietetics, histotechnology, home health care administration, marriage and family therapy, massage therapy, medical laboratory technology, medicine, naturopathic medicine, nutrition, nursing home administration, occupational therapy, optometry, pharmaceutical detailing, pharmacy, physical therapy, podiatry, practical nursing, professional counseling, psychology, registered nursing, respiratory care, social work, speech-language pathology, veterinary medicine, or to practice as an anesthesiologist assistant, athletic trainer, personal fitness trainer, pharmacy intern, physician assistant, physical therapy assistant, polysomnographic technologist, occupational therapy assistant, or surgical assistant, professional art therapy, or as a trauma technologist, or to practice any other profession for which licensure is required by § 501(a)(1) of the Health Occupations Act (D.C. Official Code § 3- 1205.01(a)(1)); (b) Each person registered pursuant to § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)) to practice as an audiology assistant, dental assistant, nursing assistive personnel (including certified nurse aide and certified home health aide), pharmacy technician, phlebotomist, psychology associate, polysomnographic technician or trainee, speech- language pathology assistant, or speech-language pathology clinical fellow, or to practice any other profession for which registration is required by § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)); (c) Each person certified pursuant to § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)) to practice as an addiction counselor I, addiction counselor II, advanced practice registered nursing, veterinary technician, or a veterinary euthanasia technician, or to practice any other profession for which certification is required by § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)); (d) Each person certified pursuant to § 6 of the Emergency Medical Services Act of 2008 (“Emergency Medical Services Act”), effective March 25, 2009 (D.C. Law 17-357; D.C. Official Code § 7-2341.05) to perform the duties of emergency medical services personnel; DISTRICT OF COLUMBIA REGISTER VOL. 68 - NO. 35AUGUST 27, 2021008966 4 (e) Each person certified pursuant to § 7 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.06) to perform the duties of flight emergency medical services personnel; (f) Each person certified pursuant to § 9 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.08) to perform the duties of an emergency medical services instructor; and (g) Each person who is an “unlicensed person” as that term is defined by § 2(7) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(7)), regardless of whether the person is an employee or contractor of a “facility,” as that term is defined by section by § 2(1C) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(1C)). The term “unlicensed person” includes, but is not limited to, unlicensed nurse aides, orderlies, assistant technicians, attendants, home health aides, personal care aides, medication aides, geriatric aides, medical assistants, health technicians, other health aides, housekeeping staff, maintenance staff and administrative staff.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[Adverse employment action],,,false
"D.C. Rule Healthcare Worker Vaccine Requirement (Oct. 7, 2021)",10/07/2021 12:00:00 AM,District of Columbia,11/22/2021 12:00:00 AM,2022-02-04T00:00:00,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[employees],"As defined in D.C. Rule Healthcare Worker Vaccine Requirement (Aug. 27, 2021) Each person licensed pursuant to § 501(a)(1) of the District of
Columbia Health Occupations Revisions Act of 1985 (“Health
Occupations Act”), effective March 25, 1986 (D.C. Law 6-99;
D.C. Official Code § 3-1205.01(a)(1)) to practice acupuncture,
advanced practice addiction counseling, assisted living
administration, audiology, certified midwife, certified professional
midwife chiropractic, cytotechnology, dental hygiene, dentistry,
dietetics, histotechnology, home health care administration,
marriage and family therapy, massage therapy, medical laboratory
technology, medicine, naturopathic medicine, nutrition, nursing
home administration, occupational therapy, optometry,
pharmaceutical detailing, pharmacy, physical therapy, podiatry,
practical nursing, professional counseling, psychology, registered
nursing, respiratory care, social work, speech-language pathology,
veterinary medicine, or to practice as an anesthesiologist assistant,
athletic trainer, personal fitness trainer, pharmacy intern, physician
assistant, physical therapy assistant, polysomnographic
technologist, occupational therapy assistant, or surgical assistant,
professional art therapy, or as a trauma technologist, or to practice
any other profession for which licensure is required by § 501(a)(1)
of the Health Occupations Act (D.C. Official Code § 3-
1205.01(a)(1));
(b) Each person registered pursuant to § 501(a)(2) of the Health
Occupations Act (D.C. Official Code § 3-1205.01(a)(2)) to
practice as an audiology assistant, dental assistant, nursing
assistive personnel (including certified nurse aide and certified
home health aide), pharmacy technician, phlebotomist, psychology
associate, polysomnographic technician or trainee, speechlanguage
pathology assistant, or speech-language pathology
clinical fellow, or to practice any other profession for which
registration is required by § 501(a)(2) of the Health Occupations
Act (D.C. Official Code § 3-1205.01(a)(2));
(c) Each person certified pursuant to § 501(a)(3) of the Health
Occupations Act (D.C. Official Code § 3-1205.01(a)(3)) to
practice as an addiction counselor I, addiction counselor II,
advanced practice registered nursing, veterinary technician, or a
veterinary euthanasia technician, or to practice any other
profession for which certification is required by § 501(a)(3) of the
Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3));
(d) Each person certified pursuant to § 6 of the Emergency Medical
Services Act of 2008 (“Emergency Medical Services Act”),
effective March 25, 2009 (D.C. Law 17-357; D.C. Official Code §
7-2341.05) to perform the duties of emergency medical services
personnel;
(e) Each person certified pursuant to § 7 of the Emergency Medical
Services Act (D.C. Official Code § 7-2341.06) to perform the
duties of flight emergency medical services personnel;
(f) Each person certified pursuant to § 9 of the Emergency Medical
Services Act (D.C. Official Code § 7-2341.08) to perform the
duties of an emergency medical services instructor; and
(g) Each person who is an “unlicensed person” as that term is defined
by § 2(7) of the Health-Care Facility Unlicensed Personnel
Criminal Background Check Act of 1998, effective April 20, 1999
(D.C. Law 12-238; D.C. Official Code § 44-551(7)), regardless of
whether the person is an employee or contractor of a “facility,” as
that term is defined by section by § 2(1C) of the Health-Care
Facility Unlicensed Personnel Criminal Background Check Act of
1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official
Code § 44-551(1C)). The term “unlicensed person” includes, but
is not limited to, unlicensed nurse aides, orderlies, assistant
technicians, attendants, home health aides, personal care aides,
medication aides, geriatric aides, medical assistants, health
technicians, other health aides, housekeeping staff, maintenance
staff and administrative staff.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[Must show proof of vaccination - Other],,,false
"D.C. Rule. Healthcare Worker Vaccine Requirement (Aug. 27, 2021)",08/27/2021 12:00:00 AM,District of Columbia,11/13/2021 12:00:00 AM,2021-12-20T00:00:00,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[employees],"Each person licensed pursuant to § 501(a)(1) of the District of Columbia Health Occupations Revisions Act of 1985 (“Health Occupations Act”), effective March 25, 1986 (D.C. Law 6-99; D.C. Official Code § 3-1205.01(a)(1)) to practice acupuncture, advanced practice addiction counseling, assisted living administration, audiology, certified midwife, certified professional midwife chiropractic, cytotechnology, dental hygiene, dentistry, dietetics, histotechnology, home health care administration, marriage and family therapy, massage therapy, medical laboratory technology, medicine, naturopathic medicine, nutrition, nursing home administration, occupational therapy, optometry, pharmaceutical detailing, pharmacy, physical therapy, podiatry, practical nursing, professional counseling, psychology, registered nursing, respiratory care, social work, speech-language pathology, veterinary medicine, or to practice as an anesthesiologist assistant, athletic trainer, personal fitness trainer, pharmacy intern, physician assistant, physical therapy assistant, polysomnographic technologist, occupational therapy assistant, or surgical assistant, professional art therapy, or as a trauma technologist, or to practice any other profession for which licensure is required by § 501(a)(1) of the Health Occupations Act (D.C. Official Code § 3- 1205.01(a)(1)); (b) Each person registered pursuant to § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)) to practice as an audiology assistant, dental assistant, nursing assistive personnel (including certified nurse aide and certified home health aide), pharmacy technician, phlebotomist, psychology associate, polysomnographic technician or trainee, speechlanguage pathology assistant, or speech-language pathology clinical fellow, or to practice any other profession for which registration is required by § 501(a)(2) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(2)); (c) Each person certified pursuant to § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)) to practice as an addiction counselor I, addiction counselor II, advanced practice registered nursing, veterinary technician, or a veterinary euthanasia technician, or to practice any other profession for which certification is required by § 501(a)(3) of the Health Occupations Act (D.C. Official Code § 3-1205.01(a)(3)); (d) Each person certified pursuant to § 6 of the Emergency Medical Services Act of 2008 (“Emergency Medical Services Act”), effective March 25, 2009 (D.C. Law 17-357; D.C. Official Code § 7-2341.05) to perform the duties of emergency medical services personnel; (e) Each person certified pursuant to § 7 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.06) to perform the duties of flight emergency medical services personnel; (f) Each person certified pursuant to § 9 of the Emergency Medical Services Act (D.C. Official Code § 7-2341.08) to perform the duties of an emergency medical services instructor; and (g) Each person who is an “unlicensed person” as that term is defined by § 2(7) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(7)), regardless of whether the person is an employee or contractor of a “facility,” as that term is defined by section by § 2(1C) of the Health-Care Facility Unlicensed Personnel Criminal Background Check Act of 1998, effective April 20, 1999 (D.C. Law 12-238; D.C. Official Code § 44-551(1C)). The term “unlicensed person” includes, but is not limited to, unlicensed nurse aides, orderlies, assistant technicians, attendants, home health aides, personal care aides, medication aides, geriatric aides, medical assistants, health technicians, other health aides, housekeeping staff, maintenance staff and administrative staff.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Other, Termination of employment, Adverse employment action]",,,false
"D.C. Mayor's Order No. 2022-029 (Feb. 14, 2022)",02/14/2022 12:00:00 AM,District of Columbia,01/15/2022 12:00:00 AM,2022-02-14T00:00:00,Patrons of businesses,,,[],"guest, visitor, or customer over 12",,,"[Must show proof of vaccination - Other, Denial of service]",No,,false
"D.C. Mayor's Order 2021-148 (Dec. 22, 2021)",12/21/2021 12:00:00 AM,District of Columbia,03/01/2022 12:00:00 AM,,Patrons of businesses,,,[],"guest, customer, or visitor over 12 years old of covered establishments.",,,"[Must show proof of vaccination - Other, Must show proof of vaccination - 3rd party app, Must show proof of vaccination - Vaccine card, Must show proof of vaccination - IIS]",No,,false
"D.C. Mayor's Order No. 2022-043 (Mar. 17, 2022)",03/17/2022 12:00:00 AM,District of Columbia,11/01/2021 12:00:00 AM,,School workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[employees, contractors, interns, volunteers]","All adult employees, contractors, interns, and volunteers working in person in a public, public charter, independent, private, or parochial school in the District of Columbia","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,false
"D.C. Mayor's Order No. 2022-029 (Feb. 14, 2022)",02/14/2022 12:00:00 AM,District of Columbia,11/01/2021 12:00:00 AM,,School workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[employees, contractors, interns, volunteers]","all adult employees, contractors, interns, and volunteers working in person in a public, public charter, independent, private, or parochial school in the District of Columbia","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[Must show proof of vaccination - Other],,,false
